display_name,name_from_wordpress,wp_category,sector,city,state,wp_date,year_completed,delivery_method,photo_file,wp_featured_image_url,notes
Dulce Vida,DULCE VIDA,Current Projects,Current Projects,,,2025-02-01,,,project-dulce-vida.jpg,https://www.bdiconstruction.com/wp-content/uploads/2026/04/DJI_0089.jpg,
Grand East,GRAND EAST,Current Projects,Current Projects,,,2025-01-12,,,project-grand-east.jpg,https://www.bdiconstruction.com/wp-content/uploads/2026/04/dji_fly_20251017_130952_0281_1760721416995_photo.jpg,
Havana Enclave,HAVANA ENCLAVE,Current Projects,Current Projects,,,2025-01-08,,,project-havana-enclave.jpg,https://www.bdiconstruction.com/wp-content/uploads/2026/03/DJI_0304.jpg,
Heneiken,HENEIKEN,Current Projects,Current Projects,,,2025-01-05,,,project-heneiken.jpg,https://www.bdiconstruction.com/wp-content/uploads/2026/04/DJI_0089.jpg,DRAFT — not published on old site
Courtside Phase II,COURTSIDE PHASE II,Current Projects,Current Projects,,,2025-01-01,,,project-courtside-phase-ii.jpg,https://www.bdiconstruction.com/wp-content/uploads/2025/01/DJI_0011.jpg,
The Fountains at Hidden Lake,THE FOUNTAINS AT HIDDEN LAKE,Current Projects,Current Projects,,,2023-10-16,,,project-fountains-hidden-lake.jpg,https://www.bdiconstruction.com/wp-content/uploads/2023/10/DJI_0327-Edit.jpg,
Tucker Tower,TUCKER TOWER,Current Projects,Current Projects,,,2023-06-02,,,project-tucker-tower.jpg,https://www.bdiconstruction.com/wp-content/uploads/2024/06/Tucker-Project-19.png,
"Mater Lakes Academy, South Campus Phase I & II","MATER LAKES ACADEMY, SOUTH CAMPUS PHASE I & II",Current Projects,Current Projects,,,2023-05-28,,,project-mater-lakes-academy-south-campus-phase.jpg,https://www.bdiconstruction.com/wp-content/uploads/2023/05/90-web-or-mls-DJI_20250830101425_0077_D_DJIBEC.jpg,
Cloisters 57 Plex Townhomes,CLOISTERS 57 PLEX TOWNHOMES,Current Projects,Current Projects,,,2023-05-21,,,project-cloisters-57-plex-townhomes.jpg,https://www.bdiconstruction.com/wp-content/uploads/2023/10/7.png,
Ofm - Office of Foreign Missions,OFM - OFFICE OF FOREIGN MISSIONS,Interior,,,,2023-05-19,,,project-ofm-office-foreign-missions.jpg,https://www.bdiconstruction.com/wp-content/uploads/2023/05/20230505_173728047_iOS.jpg,
Grazianos,GRAZIANOS,Interior,,,,2023-05-18,,,project-grazianos.jpg,https://www.bdiconstruction.com/wp-content/uploads/2023/05/Grazianos-1.png,
